"","caseid","year","degree","consci"
"24894",24894,1990,"Bachelor","Only Some"
"24895",24895,1990,"Graduate","Hardly Any"
"24898",24898,1990,"Lt High School","A Great Deal"
"24903",24903,1990,"High School","A Great Deal"
"24906",24906,1990,"Lt High School","Only Some"
"24909",24909,1990,"High School","Only Some"
"24913",24913,1990,"Bachelor","Only Some"
"24918",24918,1990,"High School","Hardly Any"
"24921",24921,1990,"High School","Only Some"
"24922",24922,1990,"High School","Only Some"
"24923",24923,1990,"High School","Only Some"
"24925",24925,1990,"Lt High School","Only Some"
"24926",24926,1990,"High School","Only Some"
"24927",24927,1990,"High School","Only Some"
"24929",24929,1990,"High School","Only Some"
"24930",24930,1990,"High School","A Great Deal"
"24931",24931,1990,"High School","Only Some"
"24935",24935,1990,"Graduate","A Great Deal"
"24937",24937,1990,"Bachelor","A Great Deal"
"24938",24938,1990,"High School","Only Some"
"24941",24941,1990,"High School","Only Some"
"24944",24944,1990,"High School","A Great Deal"
"24945",24945,1990,"Lt High School","A Great Deal"
"24946",24946,1990,"High School","A Great Deal"
"24947",24947,1990,"High School","A Great Deal"
"24948",24948,1990,"High School","A Great Deal"
"24952",24952,1990,"Junior College","A Great Deal"
"24954",24954,1990,"High School","Only Some"
"24955",24955,1990,"Lt High School","Only Some"
"24957",24957,1990,"Bachelor","Only Some"
"24958",24958,1990,"Graduate","A Great Deal"
"24961",24961,1990,"High School","A Great Deal"
"24962",24962,1990,"High School","A Great Deal"
"24965",24965,1990,"High School","Only Some"
"24966",24966,1990,"Junior College","Only Some"
"24971",24971,1990,"Graduate","Only Some"
"24972",24972,1990,"Graduate","Only Some"
"24973",24973,1990,"Lt High School","A Great Deal"
"24975",24975,1990,"High School","Hardly Any"
"24977",24977,1990,"High School","Only Some"
"24978",24978,1990,"High School","A Great Deal"
"24979",24979,1990,"High School","A Great Deal"
"24980",24980,1990,"High School","Only Some"
"24981",24981,1990,"Lt High School","Only Some"
"24983",24983,1990,"High School","Only Some"
"24984",24984,1990,"High School","Only Some"
"24985",24985,1990,"High School","Hardly Any"
"24988",24988,1990,"High School","Hardly Any"
"24989",24989,1990,"Lt High School","Only Some"
"24990",24990,1990,"High School","A Great Deal"
"24991",24991,1990,"High School","A Great Deal"
"24994",24994,1990,"Graduate","Only Some"
"24995",24995,1990,"Graduate","Only Some"
"24998",24998,1990,"Graduate","A Great Deal"
"24999",24999,1990,"Bachelor","Only Some"
"25001",25001,1990,"Graduate","A Great Deal"
"25002",25002,1990,"Graduate","A Great Deal"
"25003",25003,1990,"Junior College","Only Some"
"25004",25004,1990,"High School","Only Some"
"25006",25006,1990,"Lt High School","A Great Deal"
"25009",25009,1990,"Junior College","A Great Deal"
"25012",25012,1990,"High School","Only Some"
"25017",25017,1990,"High School","A Great Deal"
"25020",25020,1990,"High School","A Great Deal"
"25022",25022,1990,"Junior College","A Great Deal"
"25023",25023,1990,"High School","A Great Deal"
"25024",25024,1990,"Bachelor","A Great Deal"
"25026",25026,1990,"Graduate","A Great Deal"
"25027",25027,1990,"High School","Only Some"
"25029",25029,1990,"Lt High School","A Great Deal"
"25030",25030,1990,"Lt High School","A Great Deal"
"25032",25032,1990,"High School","Only Some"
"25033",25033,1990,"High School","Only Some"
"25034",25034,1990,"High School","A Great Deal"
"25035",25035,1990,"High School","Only Some"
"25036",25036,1990,"Junior College","Only Some"
"25040",25040,1990,"Lt High School","A Great Deal"
"25041",25041,1990,"Bachelor","A Great Deal"
"25042",25042,1990,"High School","A Great Deal"
"25044",25044,1990,"Lt High School","Only Some"
"25045",25045,1990,"High School","Only Some"
"25046",25046,1990,"High School","A Great Deal"
"25048",25048,1990,"High School","Only Some"
"25050",25050,1990,"Bachelor","Only Some"
"25051",25051,1990,"Graduate","A Great Deal"
"25052",25052,1990,"High School","A Great Deal"
"25053",25053,1990,"Bachelor","A Great Deal"
"25054",25054,1990,"Bachelor","A Great Deal"
"25056",25056,1990,"Lt High School","Only Some"
"25058",25058,1990,"High School","Only Some"
"25059",25059,1990,"Lt High School","Hardly Any"
"25061",25061,1990,"Bachelor","A Great Deal"
"25062",25062,1990,"Bachelor","A Great Deal"
"25064",25064,1990,"Graduate","A Great Deal"
"25065",25065,1990,"Bachelor","A Great Deal"
"25069",25069,1990,"High School","A Great Deal"
"25070",25070,1990,"Bachelor","Only Some"
"25071",25071,1990,"High School","Only Some"
"25072",25072,1990,"Bachelor","Only Some"
"25074",25074,1990,"Bachelor","A Great Deal"
"25076",25076,1990,"Bachelor","A Great Deal"
"25078",25078,1990,"Graduate","A Great Deal"
"25079",25079,1990,"Bachelor","Only Some"
"25080",25080,1990,"Bachelor","Only Some"
"25083",25083,1990,"Lt High School","Only Some"
"25085",25085,1990,"High School","Only Some"
"25087",25087,1990,"High School","Only Some"
"25089",25089,1990,"Bachelor","Only Some"
"25090",25090,1990,"Junior College","Hardly Any"
"25091",25091,1990,"Lt High School","Only Some"
"25092",25092,1990,"High School","A Great Deal"
"25095",25095,1990,"High School","Only Some"
"25097",25097,1990,"High School","A Great Deal"
"25098",25098,1990,"Lt High School","A Great Deal"
"25099",25099,1990,"High School","Only Some"
"25101",25101,1990,"High School","A Great Deal"
"25102",25102,1990,"High School","Only Some"
"25103",25103,1990,"High School","Hardly Any"
"25105",25105,1990,"Lt High School","A Great Deal"
"25106",25106,1990,"Graduate","Only Some"
"25107",25107,1990,"Graduate","A Great Deal"
"25109",25109,1990,"Bachelor","Only Some"
"25111",25111,1990,"High School","A Great Deal"
"25112",25112,1990,"High School","Only Some"
"25114",25114,1990,"High School","Only Some"
"25116",25116,1990,"High School","Hardly Any"
"25118",25118,1990,"Lt High School","Only Some"
"25119",25119,1990,"Lt High School","Only Some"
"25120",25120,1990,"High School","Only Some"
"25121",25121,1990,"High School","Only Some"
